_date_	ex_rate_npr_per_usd	exports_india_npr_mn	exports_row_npr_mn	exports_total_npr_mn	gdp_npr_mn	gdp_usd_mn	imports_india_npr_mn	imports_total_npr_mn	imports_row_npr_mn	india_real_gdp_usd	ln_export_india	ln_export_row	ln_import_india	ln_india_tbr	ln_import_row	ln_india_gdp	ln_nepal_gdp	ln_reer	ln_reer_neg	ln_row_gdp	ln_reer_pos	ln_row_tbr	ln_total_exports	ln_total_tbr	ln_total_imports	nepal_real_gdp_usd	reer	world_gdp_usd	year
1980-01-01	12.00	992.40	616.30	1608.70	62377751809.38	5198145984.11	2179.00	4428.20	2249.20	186328579302.07	3.00	2.79	3.34	-0.34157047464608396	3.35	11.27	9.29	2.09	NA	13.94	NA	-0.56223590710669	3.21	-0.43975216577727496	3.65	1945916583.33	124.26	86596043570028.704	1980
1981-01-01	13.00	994.40	497.10	1491.50	73213061709.12	5631773977.62	2280.90	4930.30	2649.40	193491368445.57	3.00	2.70	3.36	-0.360545129572828	3.42	11.29	9.36	2.13	0	13.95	0.040000000000000032	-0.72670376883824496	3.17	-0.519250088431194	3.69	2275583316.67	135.89	89727465340452.704	1981
1982-01-01	13.88	843.30	288.70	1132.00	81094099945.39	5844619815.88	2499.60	6314.00	3814.40	200715624830.9	2.93	2.46	3.40	-0.471888415668268	3.58	11.30	9.38	2.15	0	13.95	0.060000000000000056	-1.1209794498434	3.05	-0.74645815070394608	3.80	2395423741.8	141.19	88426908804769.792	1982
1983-01-01	15.50	1160.70	543.20	1703.90	87894327328.84	5670601763.15	3058.00	6514.30	3456.30	218262146413.16	3.06	2.73	3.49	-0.420717496635394	3.54	11.34	9.39	2.16	0	13.95	0.070000000000000288	-0.803651670072032	3.23	-0.582423652131882	3.81	2447174803.38	145.04	89028221792132.4	1983
1984-01-01	17.93	1601.70	1138.90	2740.60	111537802992.45	6219580092.5200008	3895.80	7742.10	3846.30	212157645177.65	3.20	3.06	3.59	-0.386015477678828	3.59	11.33	9.41	2.14	-0.020000000000000016	13.96	0.070000000000000288	-0.52855756195482592	3.44	-0.45101312314618904	3.89	2581207387.8	139.31	91790205141054	1984
1985-01-01	19.95	1241.10	1836.90	3078.10	131677752173.29	6601767395.36	3970.90	9341.20	5370.30	232511554840.37	3.09	3.26	3.60	-0.50508217465821904	3.73	11.37	9.42	2.12	-0.040000000000000032	13.98	0.070000000000000288	-0.46591303312802704	3.49	-0.482119945753632	3.97	2619913955.52	131.51	95887226318142.592	1985
1986-01-01	21.69	1302.60	1688.80	2991.40	149741501722.44	6903181024.47	4262.00	10905.20	6643.20	248985994040.59	3.11	3.23	3.63	-0.51480237154011896	3.82	11.40	9.45	2.06	-0.10000000000000008	14.05	0.070000000000000288	-0.594799107196726	3.48	-0.56175914557463904	4.04	2850782044.04	116.05	111718886113743	1986
1987-01-01	22.21	1567.60	2546.90	4114.50	155907666165.49	7020232622.84	4595.70	13869.60	9273.90	279033584092.21996	3.20	3.41	3.66	-0.46711641608116	3.97	11.45	9.47	2.07	-0.10000000000000008	14.10	0.080000000000000064	-0.56125051519688296	3.61	-0.52774686951777808	4.14	2957255379.54	116.37	126658274533146	1987
1988-01-01	25.63	1034.90	3160.40	4195.30	193739516533.74	7560566498.88	4238.70	16263.70	12025.00	296589670895.93	3.01	3.50	3.63	-0.61233429290223896	4.08	11.47	9.54	2.06	-0.10999999999999988	14.15	0.080000000000000064	-0.58034303192148696	3.62	-0.58845633265098992	4.21	3487009748.36	115.41	142121816259105	1988
1989-01-01	28.64	602.50	4553.70	5156.20	225922957943.31	7887912410.01	4674.50	18324.90	13650.40	296042052944.65996	2.78	3.66	3.67	-0.88977811286988	4.14	11.47	9.55	2.04	-0.1299999999999999	14.17	0.080000000000000064	-0.47678096208146096	3.71	-0.55071185881730304	4.26	3525225786.59	108.84	148372431107530	1989
1990-01-01	31.95	1552.20	5835.30	7387.50	263734354217.25	8253520017.23	7323.10	23226.50	15903.40	320979026420.03004	3.19	3.77	3.86	-0.673747285550342	4.20	11.51	9.56	2.00	-0.16999999999999992	14.23	0.080000000000000064	-0.435426793822462	3.87	-0.49748627702984	4.37	3627560239.49	100.81	169157900169268	1990
1991-01-01	42.69	1450.00	12256.50	13706.50	374751223292	8779116585.01	11245.50	31940.00	20694.50	270105341879.23	3.16	4.09	4.05	-0.88961076766681904	4.32	11.43	9.59	1.94	-0.23	14.24	0.080000000000000064	-0.227488468316174	4.14	-0.36740834138513	4.50	3921476084.89	86.20	174935488478449	1991
1992-01-01	45.65	1621.70	15644.80	17266.50	417254246658.28	9139622809.4	12542.10	39205.60	26663.50	288208070278.01	3.21	4.19	4.10	-0.88839974243729504	4.43	11.46	9.53	1.94	-0.23	14.27	0.080000000000000064	-0.231547141156456	4.24	-0.356143791684486	4.59	3401211581.29	87.89	186379264497973	1992
1993-01-01	49.25	2408.90	16884.50	19293.40	467483299087.62	9491484580.53	17035.40	51570.80	34535.40	279295648982.53004	3.38	4.23	4.23	-0.849533563856868	4.54	11.45	9.56	1.94	-0.23	14.28	0.080000000000000064	-0.31077628609095696	4.29	-0.426995100122434	4.71	3660041666.67	86.81	189283186186795	1993
1994-01-01	49.94	3124.30	14514.90	17639.20	512953261861.2	10271305209.27	19615.90	63679.50	44063.60	327274843459.43	3.49	4.16	4.29	-0.797855510032896	4.64	11.51	9.61	1.95	-0.23	14.31	0.09000000000000008	-0.48226592804343696	4.25	-0.55752076028640992	4.80	4066775510.2	88.71	203969325016085	1994
1995-01-01	55.21	3682.60	16198.50	19881.10	586729902010.19992	10627560489.24	24398.60	74454.50	50055.90	360281909643.49	3.57	4.21	4.39	-0.82121035826481696	4.70	11.56	9.64	1.93	-0.25	14.36	0.09000000000000008	-0.48998047412256504	4.30	-0.573450541689794	4.87	4401104417.67	84.62	229448100963817	1995
