,SERIES01,SERIES02,SERIES03,SERIES04,SERIES05
1980,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA
2010,0.000000,0.000000,0.000000,0.000000,0.000000
2011,0.190147,1.662216,1.868482,3.570966,0.165997
2012,0.287969,2.361908,2.681194,5.119418,0.242969
2013,0.285188,2.282925,2.608916,4.959485,0.258347
2014,0.244707,1.819181,2.105587,4.086472,0.124702
2015,0.221970,1.571268,1.830974,3.640601,0.021346
2016,0.223890,1.588912,1.847797,3.649976,0.045619
2017,0.235291,1.734295,2.004036,3.882739,0.125333
2018,0.243121,1.826751,2.102359,4.035399,0.169318
2019,0.244008,1.829223,2.102049,4.023814,0.180284
2020,0.241286,1.781839,2.049808,3.939174,0.160442
2021,0.238780,1.745962,2.012969,3.889412,0.136526
2022,0.238353,1.741692,2.011872,3.889851,0.133893
2023,0.239399,1.757757,2.031520,3.916466,0.146574
2024,0.240630,1.771687,2.046608,3.937309,0.155907
